"Code","Description"
"FISH:CODB:BCTA","Fish in batter, from takeaway"
"FISH:CODB:CBFB","Cod in batter, oven baked"
"FISH:CODB:CBFO","Cod in batter, fried"
"FISH:CRAB:STCK","Crabsticks"
"FISH:DISH:FPIE","Fish pie"
"FISH:FFLT:CDFB","Cod fillet (fish only no batter or crumbs)"
"FISH:FFLT:CDFP","Cod fillet, poached"
"FISH:FFLT:CDSG","Cod steaks grilled"
"FISH:FFLT:CRBO","Crab"
"FISH:FFLT:HBST","Halibut, steamed"
"FISH:FFLT:HDSM","Haddock, smoked"
"FISH:FFLT:HDST","Haddock,steamed"
"FISH:FFLT:HRFR","Herring, fried"
"FISH:FFLT:HRGR","Herring, grilled"
"FISH:FFLT:KPBK","Kipper, baked"
"FISH:FFLT:LSST","Lemon sole"
"FISH:FFLT:MKFR","Mackerel, fried"
"FISH:FFLT:PLCT","Fresh Pilchards"
"FISH:FFLT:PLST","Plaice"
"FISH:FFLT:SMSD","Salmon, steamed"
"FISH:FFLT:SMSM","Smoked salmon, not tinned"
"FISH:FFLT:TRST","Trout"
"FISH:FFLT:WBFR","Whitebait"
"FISH:FFLT:WHST","Whiting"
"FISH:FFNG:FFFO","Fish fingers, fried"
"FISH:FFNG:FFGR","Fish fingers, grilled"
"FISH:FHDI:FCRY","Fish curry"
"FISH:FPCS:CBCG","Cod in breadcrumbs, grilled / ovenbaked"
"FISH:FPCS:HBCG","Haddock in breadcrumbs, grilled / ovenbaked"
"FISH:FPCS:SCMP","Scampi, in breadcrumbs"
"FISH:FSCK:FCBD","Fishcakes, coated in breadcrumbs, fried"
"FISH:FSCK:FCBG","Fishcakes, coated in breadcrumbs, grilled"
"FISH:FSCK:FSBD","Fish shapes, white fish in breadcrumbs fried"
"FISH:FSCK:FSBG","Fish shapes, white fish in breadcrumbs grilled"
"FISH:MKRL:GRIL","Mackerel, grilled"
"FISH:MKRL:SMKD","Mackerel, smoked"
"FISH:OILY:PILC","Pilchards, tinned in tomato sauce"
"FISH:OILY:SMNB","Salmon in brine, tinned"
"FISH:OILY:SMNO","Salmon in oil, tinned"
"FISH:OILY:SRBR","Sardines in brine, tinned"
"FISH:OILY:SROI","Sardines in oil, tinned"
"FISH:OILY:SRTM","Sardines in tomato sauce, tinned"
"FISH:OILY:TNAB","Tuna in brine, tinned"
"FISH:OILY:TNAO","Tuna in oil, tinned"
"FISH:PWNS:PBFO","Prawns"
"FRTS:APLS:APST","Stewed Apple"
"FRTS:APLS:EAPF","Apples - skin was not eaten"
"FRTS:APLS:EAPL","Apples - skin was eaten"
"FRTS:APRT:APRC","Apricots, tinned in syrup"
"FRTS:APRT:APRD","Dried Apricots"
"FRTS:APRT:APRJ","Apricots, tinned in juice"
"FRTS:APRT:RAWA","Apricots, fresh"
"FRTS:APSE:APSE","Apple sauce"
"FRTS:AVOC:AVOC","Avocado"
"FRTS:BANA:BANA","Bananas"
"FRTS:BERR:BLUE","Blueberries"
"FRTS:BERR:RASP","Raspberries, raw"
"FRTS:CAND:CPCH","Peaches, canned in syrup"
"FRTS:CAND:FSSF","Fruit cocktail tinned in juice"
"FRTS:CAND:FTSS","Fruit cocktail tinned in syrup or tinned fruit cocktail in syrup"
"FRTS:CAND:PAPS","Pineapple, tinned in syrup"
"FRTS:CAND:PCHJ","Peaches, tinned in juice"
"FRTS:CAND:PCHS","Nectarines/ Peaches"
"FRTS:CAND:PNAJ","Pineapple, tinned in juice"
"FRTS:CAND:PRSJ","Pears in juice, tinned"
"FRTS:CAND:PSCS","Pears in syrup, tinned"
"FRTS:CHRY:CHRY","Cherries, raw"
"FRTS:FIGS:FIGS","Figs, ready-to-eat"
"FRTS:FSAL:SALH","Fruit salad, homemade"
"FRTS:GPFT:GPFT","Grapefruit"
"FRTS:GRPS:RGPS","Red Grapes"
"FRTS:GRPS:WGPS","White Grapes"
"FRTS:KIWI:KWIN","Kiwi fruit"
"FRTS:MLNS:CANT","Melon, canteloupe-type"
"FRTS:MLNS:GMLN","Melon, galia"
"FRTS:MLNS:HMLN","Melon, honeydew"
"FRTS:MLNS:WATR","Melon, watermelon ( red with seeds)"
"FRTS:MNGO:MNGO","Mango"
"FRTS:ORNG:ORGS","Oranges"
"FRTS:ORNG:TNGS","Tangerines / mandarins / clementines/ satsumas"
"FRTS:PCHS:NCTF","Nectarines, left skin"
"FRTS:PCHS:NECT","Nectarines, ate skin"
"FRTS:PCHS:PCHA","Peaches, skin eaten"
"FRTS:PCHS:PCHF","Peaches, no skin eaten"
"FRTS:PEAR:EPER","Pears, including eating the skin"
"FRTS:PEAR:EPRF","Pears, no skin eaten"
"FRTS:PINE:PINE","Pineapple"
"FRTS:PLUM:PLMA","Plums, skin eaten"
"FRTS:PLUM:PLMF","Plums, skin not eaten"
"FRTS:PLUM:PLMS","Plums, stewed"
"FRTS:PRNS:PRNC","Prunes in syrup, tinned"
"FRTS:PRNS:PRND","Dried Prunes"
"FRTS:PRNS:PRNJ","Prunes in juice, tinned"
"FRTS:RSNS:DRMF","Dried mixed fruit"
"FRTS:RSNS:RASN","Raisins"
"FRTS:RSNS:SULT","Sultanas"
"FRTS:STBR:STBR","Strawberries"
"FRTS:TMTO:CTOM","Cherry tomatoes"
"FRTS:TMTO:FTOM","Tomatoes, fried"
"FRTS:TMTO:GTOM","Tomatoes, grilled"
"FRTS:TMTO:RTOM","Tomatoes, raw"
"FRTS:TMTO:TTOM","Tomatoes, tinned"
"HRSP:CHIL:CHIL","Chilli Powder"
"HRSP:HRBS:DHRB","Dried herbs"
"HRSP:HRBS:FHRB","Fresh herbs"
"HRSP:PEPR:BPPR","Black pepper"
"HRSP:PEPR:WPPR","White pepper"
"HRSP:SALT:SALT","Salt"
"HRSP:STUF:STUF","Stuffing"
"ICEL:ARCT:ARCT","Arctic roll"
"ICEL:CHCI:CHCI","Choc Ice"
"ICEL:CHCI:LCHC","Choc ices containing caramel"
"ICEL:ICEC:CICD","Ice cream with choc / nut / caramel / toffee / biscuit"
"ICEL:ICEC:CORN","Cornetto / king cone"
"ICEL:ICEC:FSSI","Ice cream, soft scoop flavoured"
"ICEL:ICEC:MRWH","Ice cream, soft type e.g. Mr Whippy"
"ICEL:ICEC:VSSI","Vanilla ice cream"
"ICEL:ILOL:FABL","Fab lolly"
"ICEL:ILOL:FFIL","Ice lolly, fruit flavoured"
"ICEL:ILOL:FPIL","Fruit pastilles lolly"
"ICEL:ILOL:ILVC","Ice lollies, made with real fruit juice e.g. Fruit Pastilles, Del Monte"
"ICEL:ILOL:MNMK","Mini milk"
"ICEL:ILOL:PSPP","Push pop lolly"
"ICEL:ILOL:RKTL","Rocket lolly"
"ICEL:ILOL:SLRO","Solero"
"ICEL:LOLS:BNTY","Bounty ice cream"
"ICEL:LOLS:FEST","Feast"
"ICEL:LOLS:FLLI","Fruit lolly with ice cream filling"
"ICEL:LOLS:IMRS","Mars ice cream"
"ICEL:LOLS:ISNK","Snickers"
"ICEL:LOLS:MGNM","Magnum"
"ICEL:LOLS:TSTR","Twister ice lolly"
"ICEL:SORB:SORB","Sorbet"
"ICEL:WFRS:WFRS","Ice cream wafers"
"MEAT:BCNS:BGRF","Gammon rashers, fried"
"MEAT:BCNS:BGRG","Gammon rashers, grilled"
"MEAT:BCNS:BNSF","Bacon (fat around edge only) fried"
"MEAT:BCNS:BNSG","Bacon (fat around edge only) grilled"
"MEAT:BCNS:BRKG","Streaky bacon (with fat streaks), grilled"
"MEAT:BRGB:BMWH","Big Mac/Whopper"
"MEAT:BRGB:CBTA","Cheese burger takeaway"
"MEAT:BRGB:HBTA","Hamburger in a bun, from takeaway"
"MEAT:BRGB:QPHC","Quarter pounder hamburger with cheese"
"MEAT:BRGB:QPTA","Quarter pounder, in a bun, from takeaway"
"MEAT:BRGO:CBBL","Chicken burger in a bun with lettuce"
"MEAT:BRGO:CBGF","Chicken burger (no bun) grilled or fried"
"MEAT:BRGO:TBSF","Turkey burger / turkey steak, grilled or fried"
"MEAT:BRGO:VBGF","Veggie burger, grilled or fried"
"MEAT:BRGR:BBFG","Beefburger (No bun)"
"MEAT:BRGR:BGSF","Beef grillsteaks, fried or grilled"
"MEAT:BRGR:PBLF","Pork burgers, fried or grilled"
"MEAT:CCRY:BFCY","Beef curry"
"MEAT:CCRY:CCRM","Chicken curry ready meal"
"MEAT:CCRY:LAMB","Lamb curry"
"MEAT:CCRY:SBPK","Sweet and sour pork, battered, from takeaway"
"MEAT:CCRY:SSCK","Sweet and sour chicken, from takeaway"
"MEAT:CCRY:SWSP","Sweet and sour pork"
"MEAT:CHOP:PGLF","Pork chop, grilled"
"MEAT:CNBF:CNBC","Corned beef, tinned"
"MEAT:CNBF:CNBN","Corned beef, not canned"
"MEAT:HAMS:GSLI","Gammon joint, slices"
"MEAT:HAMS:HCAN","Ham, tinned"
"MEAT:HAMS:HUSM","Ham"
"MEAT:HAMS:SLMI","Salami"
"MEAT:KBAB:KBAB","Doner kebabs, meat only"
"MEAT:LNCH:HPCC","Chopped pork, canned e.g Spam/ Pek"
"MEAT:LNCH:HPCG","Garlic sausage"
"MEAT:LNCH:LMNC","Luncheon Meat, not canned"
"MEAT:LNCH:LMPC","Luncheon Meat, pork, canned"
"MEAT:LSGN:LASF","???"
"MEAT:LSGN:LASH","???"
"MEAT:MFGR:CFFO","Chicken fingers / Nuggets, fried"
"MEAT:MFGR:CHFG","Chicken fingers / Nuggets, grilled"
"MEAT:MFGR:CPBG","Chicken or Turkey fingers/ pieces / goujons / in breadcrumbs, grilled or oven baked"
"MEAT:MFGR:CPTA","Chicken pieces, from a takeaway"
"MEAT:MFGR:KIEV","Chicken kiev"
"MEAT:MFGR:SATY","Chicken satay"
"MEAT:MFGR:TPBG","Turkey fingers / nuggets/ pieces/ goujons coated in crumbs, grilled or baked"
"MEAT:MNCD:BSLM","Bolognaise sauce homemade"
"MEAT:MNCD:BSPS","Bolognaise sauce from a jar"
"MEAT:MNCD:MBGV","Minced beef / lamb with vegetables and gravy"
"MEAT:MNCD:MBST","Minced beef / lamb, stewed"
"MEAT:MTDI:CHLI","Chilli con carne"
"MEAT:MTPS:CNPT","Cornish pastie"
"MEAT:MTPS:CPFI","Chicken pie, individual"
"MEAT:MTPS:CPLS","Chicken pie (slice from large pie)"
"MEAT:MTPS:ISTP","Individual steak pie"
"MEAT:MTPS:MBFP","Minced beef pie"
"MEAT:MTPS:MPKP","Mini pork pie"
"MEAT:MTPS:SPKP","Pork pie, slice from large pie"
"MEAT:MTPS:STKK","Steak and kidney pie"
"MEAT:PANK:BEEF","Crispy Pancake, Beef"
"MEAT:PANK:CHKF","Crispy Pancake, Chicken"
"MEAT:RIBS:PRIB","Pork spare ribs, 'barbecue style'"
"MEAT:RSTM:CHBR","Chicken breast slices"
"MEAT:RSTM:CHFT","Chicken breast fillet"
"MEAT:RSTM:CWMD","Chicken wings, marinated (soaked in sauce/juice before cooking)"
"MEAT:RSTM:LMFT","Chicken/Turkey breast, without skin"
"MEAT:RSTM:LMLG","Chicken/Turkey wing/drumstick, without skin"
"MEAT:RSTM:RBMF","Roast beef"
"MEAT:RSTM:RCDK","Chicken/turkey slices, with skin"
"MEAT:RSTM:RCFT","Chicken/turkey fillets, with skin"
"MEAT:RSTM:RCLG","Chicken/turkey drumsticks/wings, with skin"
"MEAT:RSTM:RCLM","Chicken/Turkey slices, without skin"
"MEAT:RSTM:RLMF","Roast lamb"
"MEAT:RSTM:RPMF","Roast Pork"
"MEAT:RSTM:TROL","Turkey roast roll, slices"
"MEAT:SGRL:SRFP","Sausage roll"
"MEAT:SLCS:CRNC","Chicken roll, with or without stuffing"
"MEAT:SLCS:CSLC","Chicken slices"
"MEAT:SLCS:TSLC","Turkey slices"
"MEAT:SPIE:SPFR","Shepherds pie, shop bought"
"MEAT:SPIE:SPHM","Shepherds pie, homemade"
"MEAT:SSGS:BKPD","Black pudding"
"MEAT:SSGS:FRFT","Hot Dogs / Frankfurters"
"MEAT:SSGS:PRMI","Pepperami"
"MEAT:SSGS:SBFO","Sausage in batter, fried"
"MEAT:SSGS:SSBF","Beef Sausages, fried"
"MEAT:SSGS:SSBG","Beef Sausages, grilled"
"MEAT:SSGS:SSPF","Pork Sausages, fried"
"MEAT:SSGS:SSPG","Pork Sausages, grilled"
"MEAT:SSGS:SSTF","Pork and Beef Sausages, fried"
"MEAT:SSGS:SSTG","Pork and Beef Sausages, grilled"
"MEAT:SSGS:TSSF","Turkey sausages, fried"
"MEAT:SSGS:TSSG","Turkey sausages, grilled"
"MEAT:STEK:BEFF","Beef steak, fried"
"MEAT:STEK:BEFG","Beef steak, grilled"
"MEAT:STEK:LMMB","Lamb chops"
"MEAT:STEW:CKCS","Chicken casserole"
"MEAT:STEW:IRSH","Irish stew"
"MEAT:STEW:MBCN","Meatballs, tinned"
"MEAT:STEW:PORK","Casserole, pork"
"MEAT:STEW:SLGV","Beef stew with gravy and vegetables"
"MEAT:STEW:SSGE","Sausage casserole"
"MEAT:STEW:STCN","Beef steak, tinned"
"MILK:CREM:CRFR","Creme Fraiche"
"MILK:CREM:DBCR","Double cream"
"MILK:CREM:HFFR","Creme fraiche, half fat"
"MILK:CREM:SCRM","Sour cream based Dips"
"MILK:CREM:SNCR","Single cream"
"MILK:CREM:WCRA","Whipped cream canned in an aerosol, e.g anchor"
"MILK:CREM:WCRF","Fresh whipped cream"
"MILK:HDRK:KMLK","Skimmed milk"
"MILK:HDRK:SMLK","Semi skimmed milk"
"MILK:HDRK:SOYM","Soya milk"
"MILK:HDRK:WMLK","Whole milk"
"MILK:MCRL:KMLK","Skimmed milk"
"MILK:MCRL:SMLK","Semi skimmed milk"
"MILK:MCRL:SOYM","Soya milk"
"MILK:MCRL:WMLK","Whole milk"
"MILK:MDNK:KMLK","Skimmed milk"
"MILK:MDNK:SMLK","Semi skimmed milk"
"MILK:MDNK:SOYM","Soya milk"
"MILK:MDNK:WMLK","Whole milk"
"MILK:SHKS:KMSH","Milkshake made with skimmed milk"
"MILK:SHKS:SHIC","Milk shake, with ice cream (shop bought)"
"MILK:SHKS:SHTH","Milkshake, with no ice cream (shop bought)"
"MILK:SHKS:SMSH","Milkshake made with powder and milk"
"MILK:SHKS:WMSH","Milkshake made with whole milk"
"MILK:TCFF:KMLK","Skimmed milk"
"MILK:TCFF:SMLK","Semi skimmed milk"
"MILK:TCFF:WMLK","Whole milk"
"PCKL:CHTN:CCHS","Chilli chutney (in spoonfuls)"
"PCKL:CHTN:CCHT","Chilli chutney (dollop)"
"PCKL:CHTN:MCHS","Mango chutney, in spoonfuls"
"PCKL:CHTN:MCHT","Mango chutney (dollop)"
"PCKL:CHTN:OCHS","Onion chutney, in spoonfuls"
"PCKL:CHTN:OCHT","Onion chutney"
"PCKL:CHTN:TCHS","Tomato chutney, in spoonfuls"
"PCKL:CHTN:TCHT","Tomato chutney (dollop)"
"PCKL:CHTN:VCHS","Vegetable chutney, in spoonfuls"
"PCKL:CHTN:VCHT","Vegetable chutney (dollop)"
"PCKL:DIPS:BLUE","Blueberries"
"PCKL:DIPS:FRCH","French stick (baguette)"
"PCKL:DIPS:GUAC","Guacamole"
"PCKL:DIPS:HUMS","Hummus"
"PCKL:DIPS:LFRC","French Dressing, fat free"
"PCKL:DIPS:SCRM","Sour cream based Dips"
"PCKL:DIPS:TARA","Taramasalata"
"PCKL:DIPS:THIS","Thousand Island Dressing, reduced calorie"
"PCKL:DIPS:THOU","Thousand Island Dressing"
"PCKL:DIPS:TZKI","Tzatziki"
"PCKL:DIPS:YOGH","Yoghurt based dressing"
"PCKL:DRSS:DRSS","Salad dressing"
"PCKL:GHRK:CPRS","Capers"
"PCKL:GHRK:PGHR","Pickled gherkins"
"PCKL:OLIV:BOLV","Black Olives"
"PCKL:OLIV:GOLV","Green Olives"
"PCKL:PONS:PONS","Pickled Onions"
"PCKL:PONS:SSPO","Silverskin pickled onions"
"PCKL:RLSH:CJRL","Chilli and jalapeno relish (dollop)"
"PCKL:RLSH:GRLS","Gherkin relish"
"PCKL:RLSH:HBRL","Hamburger relish"
"PCKL:RLSH:ORLS","Onion relish"
"PCKL:RLSH:SCJR","Chilli and jalapeno relish/ Salsa, (in spoonfuls)"
"PCKL:RLSH:SORL","Onion relish, in spoonfuls"
"PCKL:RLSH:SPGR","Gherkin relish, in spoonfuls"
"PCKL:RLSH:SPHB","Hamburger relish, in spoonfuls"
"PCKL:RLSH:STRL","Tomato relish, in spoonfuls"
"PCKL:RLSH:TRLS","Tomato relish (dollop)"
"PCKL:SWTP:PCLI","Piccalilli (dollop)"
"PCKL:SWTP:SPCL","Piccalilli, in spoonfuls"
"PCKL:SWTP:SPKL","Sweet pickle (dollop)"
"PCKL:SWTP:SSPK","Sweet pickle, spooned"
"PUDS:CHRI:CHRI","Christmas pudding"
"PUDS:CSTD:CCUS","Custard from a tin/carton"
"PUDS:CSTD:CPSS","Custard, made from powder"
"PUDS:CSTD:FCUS","Custard, flavoured e.g strawberry/ chocolate"
"PUDS:FRTC:ACNW","Apple crumble"
"PUDS:FRTC:FCNW","Fruit crumble, not apple"
"PUDS:IDST:IDKM","Mousse (Instant dessert)  made with skimmed milk e.g. angel delight / instant whip"
"PUDS:JLLY:JELS","Jelly, reduced sugar"
"PUDS:JLLY:JELW","Jelly"
"PUDS:MPUD:MPDO","Rice Pudding, Semolina, tapioca, tinned"
"PUDS:MPUD:RPSS","Rice pudding"
"PUDS:MRNG:MRNG","Meringue"
"PUDS:PFRL:PFRL","Profiteroles with sauce"
"PUDS:PIES:BANF","Banoffee pie"
"PUDS:PIES:LEMP","Lemon meringue pie"
"PUDS:SSPD:BBPD","Bread and butter pudding"
"PUDS:SSPD:SPTD","Spotted dick"
"PUDS:SSPD:SSPJ","Sponge pudding with jam / syrup / treacle"
"PUDS:SSPD:STSP","Sponge pudding"
"PUDS:TRFL:TRFL","Trifle"
"PZZA:FRBR:FRBR","Cheese and tomato Pizza, french bread"
"PZZA:PZZA:CHSN","Cheese and Tomato Pizza, thin base"
"PZZA:PZZA:CTTB","Cheese and Tomato Pizza, thick base"
"PZZA:PZZA:MTTK","Meat Pizza, thick base"
"PZZA:PZZA:MTTN","Meat Pizza, thin base"
"PZZA:PZZA:VEGK","Cheese and Tomato Pizza with vegetables and/or fruit, thick base"
"PZZA:PZZA:VEGN","Cheese and Tomato Pizza with vegetables and/or fruit,  thin base"
"SAUC:CIPS:BLKB","Black bean sauce"
"SAUC:CIPS:CBPS","Creamy sauce"
"SAUC:CIPS:CHPS","Cheese sauce"
"SAUC:CIPS:CRYS","Curry sauce"
"SAUC:CIPS:GPTO","Green Pesto"
"SAUC:CIPS:RATA","Ratatouille"
"SAUC:CIPS:RPTO","Red pesto"
"SAUC:CIPS:SSCS","Sweet and sour sauce"
"SAUC:CIPS:TMPS","Tomato based sauce"
"SAUC:OILS:OLVE","Olive oil"
"SAUC:OILS:SNFL","Sunflower oil"
"SAUC:OILS:VEGO","Vegetable oil"
"SOUP:SOUP:BRTH","Scotch broth"
"SOUP:SOUP:CCSH","Cream of chicken soup, homemade"
"SOUP:SOUP:CMSC","Soup, mushroom, shop bought"
"SOUP:SOUP:CMSH","Cream of mushroom soup, homemade"
"SOUP:SOUP:CROR","Soup, carrot and orange, shop bought"
"SOUP:SOUP:CSPC","Soup, chicken, shop bought"
"SOUP:SOUP:CTSH","Soup, tomato, shop bought"
"SOUP:SOUP:FRON","Soup, french onion, shop bought"
"SOUP:SOUP:LENT","Soup, lentil, shop bought"
"SOUP:SOUP:MSTN","Soup, minestrone, shop bought"
"SOUP:SOUP:PHAM","Soup, pea and ham, shop bought"
"SOUP:SOUP:PTLK","Soup, potato and leek, shop bought"
"SOUP:SOUP:TSPC","Soup, tomato, shop bought"
"SOUP:SOUP:VSPC","Soup, vegetable, shop bought"
"SOUP:SOUP:WHLE","Soup, chunky vegetable, shop bought"
"SUGR:CHOC:CHNT","Chocolate and nut spread e.g Nutella"
"SUGR:CHOC:CHOC","Chocolate Spread"
"SUGR:HNEY:HNEY","Honey"
"SUGR:ICRM:ICRM","Ice Cream Topping Sauce"
"SUGR:JAMS:CURD","Lemon Curd"
"SUGR:JAMS:JAME","Jam, raspberry/ strawberry/ blackberry"
"SUGR:JAMS:JAMF","Jam made from Apricot/ Plum"
"SUGR:JAMS:JAMN","Jam reduced sugar"
"SUGR:JAMS:MARM","Marmalade"
"SUGR:PATE:BFPS","Beef paste"
"SUGR:PATE:BVRL","Bovril"
"SUGR:PATE:CKNP","Chicken paste"
"SUGR:PATE:LIVR","Liver pate"
"SUGR:PATE:MRMT","Marmite"
"SUGR:PATE:SDSP","Sandwich spread and filler"
"SUGR:PATE:SMNP","Salmon pate and paste"
"SUGR:PATE:TUNA","Tuna pate and paste"
"SUGR:PATE:VGMT","Vegemite"
"SUGR:PNUT:PNBC","Peanut butter, crunchy (with bits)"
"SUGR:PNUT:PNBS","Peanut butter, smooth"
"SUGR:PSEP:PSEP","Pease pudding"
"SUGR:SUGA:BSGR","Brown sugar"
"SUGR:SUGA:WSGR","White sugar"
"SUGR:SYRP:GSYP","Golden syrup"
"SUGR:SYRP:MSYP","Maple syrup"
"SUGR:TRCL:TRCL","Treacle"
"SUGR:WICE:WICE","water icing"
"VGTB:ASPR:ASPR","Asparagus"
"VGTB:BBNS:BBCT","Baked beans"
"VGTB:BBNS:BBSS","Baked beans and sausages, in a tin"
"VGTB:BBNS:BBTL","Baked beans, reduced sugar"
"VGTB:BBNS:BRDB","Broad beans"
"VGTB:BBNS:BTBN","Butter beans"
"VGTB:BBNS:CKPS","Chickpeas"
"VGTB:BBNS:KDBN","Kidney beans"
"VGTB:BBNS:LNTL","Lentils"
"VGTB:BBNS:PLBL","Pearl barley"
"VGTB:BEET:BTBS","Beetroot"
"VGTB:BEET:PBTR","Beetroot, pickled in vinegar"
"VGTB:BKDP:OPFS","Baked potato / Jacket potato, skin eaten"
"VGTB:BKDP:OPSK","Baked Potato / Jacket potato, no skin eaten"
"VGTB:BKDP:PSWT","Sweet potato, baked"
"VGTB:BNSQ:BNSQ","Butternut Squash, baked"
"VGTB:BOLP:NPBS","New potatoes without skins, boiled / steamed / microwaved,"
"VGTB:BOLP:NPTB","New potatoes skins eaten, boiled / steamed / microwaved,"
"VGTB:BOLP:NPTC","New potatoes (baby potatoes), tinned"
"VGTB:BOLP:OPTB","Potatoes, boiled / steamed / microwaved"
"VGTB:BRCL:BRCR","Broccoli, raw"
"VGTB:BRCL:BRFB","Broccoli boiled / steamed/ microwaved"
"VGTB:BRSP:BSFB","Brussels sprouts, boiled / steamed / microwaved"
"VGTB:CBBG:RCBP","Red cabbage, pickled"
"VGTB:CBBG:RCBR","Red cabbage, raw"
"VGTB:CBBG:WCBB","White cabbage, boiled / steamed / microwaved"
"VGTB:CCMB:CCMB","Cucumber"
"VGTB:CHIP:FCFO","Chips, Fried"
"VGTB:CHIP:FCOB","Oven chips"
"VGTB:CHIP:MWCH","Microwave chips"
"VGTB:CHIP:TACC","Takeaway chips, chip shop style"
"VGTB:CHIP:TAFF","Takeaway chips e.g. McDonalds french fries"
"VGTB:CLFL:RCLF","Cauliflower, raw"
"VGTB:CLRY:CLRY","Celery"
"VGTB:COUR:CORB","Courgette, boiled"
"VGTB:COUR:CORF","Courgette, fried"
"VGTB:COUR:CRRW","Courgette, raw"
"VGTB:CRTS:OCFB","Carrots boiled/ steamed/ microwaved"
"VGTB:CRTS:OCRO","Carrots roasted"
"VGTB:CRTS:OCRR","Carrots raw"
"VGTB:CRTS:PSNB","Parsnips, boiled / steamed / microwaved"
"VGTB:CRTS:PSNR","Parsnips, roasted"
"VGTB:CRTS:YCFB","Baby carrots, boiled / steamed / microwaved"
"VGTB:CRTS:YCRR","Baby carrots, raw"
"VGTB:CSLW:CLWH","Coleslaw"
"VGTB:CSLW:CLWL","Coleslaw, low calorie"
"VGTB:CSLW:CSLW","Coleslaw"
"VGTB:FBNS:FRBB","Green beans / french beans, boiled / steamed / microwaved"
"VGTB:FBNS:RBFB","Runner beans, boiled / steamed / microwaved"
"VGTB:LEEK:LKSB","Leeks, boiled / steamed / microwaved"
"VGTB:LEEK:LKSF","Leeks, fried"
"VGTB:LTTC:ILTC","Iceberg lettuce"
"VGTB:LTTC:LTTC","Lettuce"
"VGTB:MASH:IMSH","Instant potato e.g. smash"
"VGTB:MASH:OPMM","Mashed Potato"
"VGTB:MSRM:MSRF","Mushrooms, cooked"
"VGTB:MXDV:MVCB","Mixed vegetables, canned, boiled / steamed / microwaved"
"VGTB:MXDV:MVFB","Mixed vegetables, frozen, boiled / steamed / microwaved"
"VGTB:OLIV:OLIV","Olives"
"VGTB:ONNS:ONNS","Onions"
"VGTB:ONNS:ONSB","Onions, baked / roasted"
"VGTB:ONNS:ONSF","Onions, fried"
"VGTB:ONNS:ONSS","Onions, boiled / steamed / microwaved"
"VGTB:ONNS:SPRO","Spring onions"
"VGTB:PEAS:MGTF","Mange-tout peas, fried"
"VGTB:PEAS:MGTR","Mange-tout peas, raw"
"VGTB:PEAS:MPCN","Mushy peas"
"VGTB:PEAS:MTFB","Mange tout, boiled / steamed / microwaved"
"VGTB:PEAS:PSFB","Peas, boiled / steamed / microwaved"
"VGTB:PEAS:PSPC","Peas, processed, canned"
"VGTB:PEAS:SNPB","Sugar-snap peas, boiled"
"VGTB:PEAS:SNPR","Sugar-snap peas, raw"
"VGTB:PPRS:PGFR","Green Peppers, raw"
"VGTB:PPRS:PPGF","Green Peppers, fried"
"VGTB:PPRS:PPGR","Green Peppers, roasted"
"VGTB:PPRS:PPRF","Red Peppers, fried"
"VGTB:PPRS:PPRR","Red Peppers, roasted"
"VGTB:PPRS:PPYF","Yellow Peppers, fried"
"VGTB:PPRS:PPYR","Yellow Peppers, roasted"
"VGTB:PPRS:PRFR","Red Peppers, raw"
"VGTB:PPRS:PYFR","Yellow Peppers, fresh, raw"
"VGTB:RSTP:OPRO","Roast Potatoes"
"VGTB:RSTP:OPTR","Roast Potatoes"
"VGTB:SALD:BEAN","Bean Salad"
"VGTB:SALD:GREK","Greek Salad"
"VGTB:SALD:POTS","Potato salad"
"VGTB:SPNC:SPNB","Spinach, boiled / steamed / microwaved"
"VGTB:SPNC:SPNR","Spinach raw, e.g. in salad"
"VGTB:SWTC:COBB","Corn on the cob, boiled / steamed / microwaved"
"VGTB:SWTC:MSCB","Mini sweetcorn, boiled/ steamed / microwaved"
"VGTB:SWTC:MSCR","Mini sweetcorn, raw"
"VGTB:SWTC:SCCD","Sweetcorn, tinned"
"VGTB:SWTC:SCFB","Sweetcorn, frozen, boiled"
"VGTB:TRNP:SWDB","Swede, boiled / steamed / microwaved"
"VGTB:TRNP:SWDM","Swede, mashed with milk"
"VGTB:TRNP:TNPB","Turnip, boiled / steamed / microwaved"
"VGTB:TRNP:TNPM","Turnip, mashed"
"VGTB:VGDI:CASS","Vegetable Casserole"
"VGTB:VGDI:CCSS","Cauliflower cheese"
"VGTB:VGDI:CHLQ","Vegemince chilli e.g made with quorn mince"
"VGTB:VGDI:CYVT","Vegetable curry"
"VGTB:VGDI:FLFL","Falafel"
"VGTB:VGDI:LNRT","Lentil and nut roast"
"VGTB:VGDI:NRST","Nut roast"
"VGTB:VGDI:ONBJ","Onion pakora/bhajia"
"VGTB:VGDI:SAMS","Vegetable Samosas"
"VGTB:VGDI:SAUS","Vegetarian sausages"
"VGTB:VGDI:STAU","Aubergine/ Eggplant, stuffed with rice"
"VGTB:VGDI:STFR","Stir fried vegetables"
"VGTB:VGDI:VGBJ","Vegetable pakora/bhajia"
"VGTB:VGDI:VLSG","???"
"VGTB:VGDI:VMLS","Vegemince lasagne e.g. made with quorn"
"VGTB:VGDI:VMUS","Vegetable Moussaka"
"VGTB:WFFL:FRTF","Potato fritters, fried"
